date,month,day,time,,,,
2022,11,3,20:00,,,,
2022,9,22,19:00,,,,
2022,8,4,19:00,,,,
2022,6,16,19:00,,,,
2022,5,5,19:00,,,,
2022,3,17,20:00,,,,
2022,2,3,20:00,,,,
2021,12,16,20:00,,,,
2021,11,4,20:00,,,,
2021,9,23,19:00,,,,
2021,8,5,19:00,,,,
2021,6,24,19:00,,,,
2021,5,6,19:00,,,,
2021,3,18,20:00,,,,
2021,2,4,20:00,,,,
2020,12,17,20:00,,,,
2020,11,5,15:00,,,,
2020,9,17,19:00,,,,
2020,8,6,14:00,,,,
2020,6,18,19:00,,,,
2020,5,7,14:00,,,,
2020,3,26,20:00,,,,
2020,1,30,20:00,,,,
2019,12,19,20:00,,,,
2019,11,7,20:00,,,,
2019,9,19,19:00,,,,
2019,8,1,19:00,,,,
2019,6,20,19:00,,,,
2019,5,2,19:00,,,,
2019,3,21,20:00,,,,
2019,2,7,20:00,,,,
2018,12,20,20:00,,,,
2018,11,1,20:00,,,,
2018,9,13,19:00,,,,
2018,8,2,19:00,,,,
2018,6,21,19:00,,,,
2018,5,10,19:00,,,,
2018,3,22,20:00,,,,
2018,2,8,20:00,,,,
2017,12,14,20:00,,,,
2017,11,2,20:00,,,,
2017,9,14,19:00,,,,
2017,8,3,19:00,,,,
2017,6,15,19:00,,,,
2017,5,11,19:00,,,,
2017,3,16,20:00,,,,
2017,2,2,20:00,,,,
2016,12,15,20:00,,,,
2016,11,3,20:00,,,,
2016,9,15,19:00,,,,
2016,8,4,19:00,,,,
2016,7,14,19:00,,,,
2016,6,16,19:00,,,,
2016,5,12,19:00,,,,
2016,4,14,19:00,,,,
2016,3,17,20:00,,,,
2016,2,4,20:00,,,,
2016,1,14,20:00,,,,
2015,12,10,20:00,,,,
2015,11,5,20:00,,,,
2015,10,8,19:00,,,,
2015,9,10,19:00,,,,
2015,8,6,19:00,,,,
2015,7,9,19:00,,,,
2015,6,4,19:00,,,,
2015,5,11,19:00,,,,
2015,4,9,19:00,,,,
2015,3,5,20:00,,,,
2015,2,5,20:00,,,,
2015,1,8,20:00,,,,
2014,12,4,20:00,,,,
2014,11,6,20:00,,,,
2014,10,9,19:00,,,,
2014,9,4,19:00,,,,
2014,8,7,19:00,,,,
2014,7,10,19:00,,,,
2014,6,5,19:00,,,,
2014,5,8,19:00,,,,
2014,4,10,19:00,,,,
2014,3,6,20:00,,,,
2014,2,6,20:00,,,,
2014,1,9,20:00,,,,
2013,12,5,20:00,,,,
2013,11,7,20:00,,,,
2013,10,10,19:00,,,,
2013,9,5,19:00,,,,
2013,8,1,19:00,,,,
2013,7,4,19:00,,,,
2013,6,6,19:00,,,,
2013,5,9,19:00,,,,
2013,4,4,19:00,,,,
2013,3,7,20:00,,,,
2013,2,7,20:00,,,,
2013,1,10,20:00,,,,
