date,times
2013/1/30,3:15:00
2013/6/19,2:00:00
2013/7/31,2:00:00
2013/9/18,2:00:00
2013/10/30,2:00:00
2013/12/18,3:00:00
2014/1/29,3:00:00
2014/3/19,2:00:00
2014/4/30,2:00:00
2014/6/18,2:00:00
2014/7/30,2:00:00
2014/9/17,2:00:00
2014/10/29,2:00:00
2014/12/17,3:00:00
2015/1/28,3:00:00
2015/3/18,2:00:00
2015/4/29,2:00:00
2015/6/17,2:00:00
2015/7/29,2:00:00
2015/9/17,2:00:00
2015/10/28,2:00:00
2015/12/16,3:00:00
2016/1/27,3:00:00
2016/3/16,2:00:00
2016/4/27,2:00:00
2016/6/15,2:00:00
2016/7/27,2:00:00
2016/9/21,2:00:00
2016/11/2,2:00:00
2016/12/14,3:00:00
2017/2/1,3:00:00
2017/3/15,2:00:00
2017/5/3,2:00:00
2017/6/14,2:00:00
2017/7/26,2:00:00
2017/9/20,2:00:00
2017/11/1,2:00:00
2017/12/13,3:00:00
2018/1/31,3:00:00
2018/3/21,2:00:00
2018/5/2,2:00:00
2018/6/13,2:00:00
2018/8/1,2:00:00
2018/9/26,2:00:00
2018/11/8,3:00:00
2018/12/19,3:00:00
2019/1/30,3:00:00
2019/3/20,2:00:00
2019/5/1,2:00:00
2019/6/19,2:00:00
2019/7/31,2:00:00
2019/9/18,2:00:00
2019/10/30,2:00:00
2019/12/11,3:00:00
2020/1/29,3:00:00
2020/3/2,23:00:00
2020/4/29,2:00:00
2020/6/10,2:00:00
2020/7/29,2:00:00
2020/9/16,2:00:00
2020/11/5,3:00:00
2020/12/16,3:00:00
2021/1/27,3:00:00
2021/3/17,2:00:00
2021/4/28,2:00:00
2021/6/16,2:00:00
2021/7/28,2:00:00
2021/9/22,2:00:00
2021/11/3,2:00:00
2021/12/15,3:00:00
2022/1/26,3:00:00
2022/3/16,2:00:00
2022/5/4,2:00:00
2022/6/15,2:00:00
2022/7/27,2:00:00
2022/9/21,2:00:00
2022/11/2,2:00:00
2022/12/14,3:00:00
